overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style
4.0,True,"08 12, 2014",A2FTI5YE727I78,0700026398,CubOfJudahsLion,"This installment introduces some unusual elements to the series -- mainly the ""instinct"" gauge, which lets you look through walls and avoid raising suspicions, but I sort of miss the older approach where keeping your distance and hiding your face did the trick. (Plus you have to refill said gauge by disabling or killing enemies to be able to use it once it runs out). The visuals are vastly improved from Blood Money of course, and I appreciate their allowing me to play with my gamepad.

Some have criticized the fact that this game has ""too much story"" in it. I may be biased (even if I play an anti-hero, I like him having some motivation to pursue a course of action), but I didn't feel that the story took anything away from the gameplay.",I like him having some motivation to pursue a course of ...,1407801600,,
4.0,False,"07 1, 2014",A37AO20OXS51QA,0700026398,Roderic Rinehart,"It's not exactly like previous Hitman games, but it is still true enough to the series and fun in its own right to be a good game. Not great, but worth the sale price. SCORE: 80/100.

Graphics are like most Squeenix games are now: amazing (Tomb Raider, Hitman Absolution, Deus Ex, Sleeping Dogs - they nail it HARD). Played on ULTRA at 1600p and it's a beast. It taxes the ASUS 290x even more than Tomb Raider, but I don't think it looks any better, so maybe not optimized as well. Regardless, stunning.

It is a bit more closed-in and linear but not linear in the way a platformer is or anything. Still multiple ways to solve objectives.

They have already said the next one will be true to form. Update this already beautiful engine, make it open world, and bam, perfect Hitman.",Pretty solid game worth the sale price.,1404172800,,
5.0,True,"12 29, 2013",AHT34BRYFBFT1,0700099867,hewimp,"Dirt 3 on DVD
i collect racing games so had to add this to my collection
Son wated one also",Cars,1388275200,,
4.0,True,"06 30, 2013",A3UR8NLLY1ZHCX,0700099867,Sincere Reviewer,"If you like rally cars get this game you will have fun.
It is more oriented to ""European market"" since here in America there isn't a huge rally fan party. Music it is very European and even the voices from the game very ""English"" accent.
The multiplayer isn't the best but it works just ok.",Good rally game,1372550400,,
5.0,True,"06 7, 2013",A1S6Z0KZQ8XZYJ,0700099867,evvvvv,"It works as advertised.
No issues or problems.
The product was received as expected.
The product worked as expected.
Excellent product.
Well done.",WOW !,1370563200,,
4.0,True,"05 11, 2013",A2UTRVO4FDCBH6,0700099867,A.R.G.,"Overall this is a well done racing game, with very good graphics for its time period. My family has has enjoyed playing it a great deal. I personally think a steering wheel controller is almost a necessity for this game, but an x box type controller would probably work. The keyboard would be almost impossible, and not very fun. The ""windows live"" system detracts greatly, since you must log in and be online to play or save game progress. There was a mees up with my ""Live"" log in and the game would no longer accept my activation code and I had to rebuy the game if I wanted to play. There is no customer support at all. Dirt 2 suffers from this serious flaw as well. 4 1/2 star game 1 star Windows Live feature.","Good racing game, terrible Windows Live Requirement",1368230400,,
4.0,False,"12 6, 2012",A3J9C2WMW0TZYB,0700099867,R. Lew,"I really enjoyed the Dirt series of racing games.  I actually started with the Colin McRae Rally 3 demo, which came before Dirt.  Dirt 1 was a nice game with lots of different types of races in varied environments, including Pike's Peak.  You got to race semi trucks, cargo trucks, trophy trucks, SUVs, and rally cars in Dirt 1.  The advancement was like a pyramid, unlocking levels as you go. I have a Toyota Tundra, so it is easy to like a game that has a Toyota Tundra to race in it.  Dirt 2 made it more radical with nice music and an attitude.  The races were longer and became more X-Games like. I enjoyed the Baja races very much. But, I did not like the Microsoft Live part of it where it takes a long time to get initiated, patched, etc before you can actually play for the first time. Once you get past this, things get better. The choice of vehicles were more limited, but the liveries try to make up for it. Dirt 3 keeps the same attitude and cool music, but also has the same Microsoft Live treatment: sign in, patch , etc. before the first game time.  Once you get past this, it does get better.  At first, I could not get used to the way the game downshifts automatically in the turns to automatically slow you down.  I moved the difficulty up a notch to intermediate and it was much better and more of what I was expecting.  I use a gamepad to play on the PC.  I was pleasantly surprised that my 9800 GTX 512 MB plays this game rather well at 1680x1050 (no AA).  The races are largely rally with some interesting winter-time truck races in the snow.  The cars are not quite as varied as I would like.  I also hate that there is in-game content that can be purchased additionally from Microsoft Live.  Come on! I already paid for the game and there are some levels that are pay to play, so you won't really finish the season until you pony up more funds to Microsoft Live.  Many of the cars are available to purchase too.  That is cheesy and not appreciated.  You don't need to purchase these to advance though.  The gymkhana events are interesting and challenging. Being a hoonigan takes practice, patience, and many banged up cars. The Ken Block videos on youtube really inspired me to practice as I had no idea what gymkhana was before Dirt 3.  I do miss the Baja style of offroading from Dirt 2.  Dirt 3 seems to have a focus on other things, but it is still fun overall. For $12, I got my money's worth.  Maybe I will get Dirt Showdown for some demolition derby excitement, or maybe not.","Dirt, Dirt 2, and Dirt 3",1354752000,,
4.0,False,"11 14, 2012",A1QJJU33VNC4S7,0700099867,D@rkFX,I initially gave this one star because it was crashing on me constantly but I recently narrowed it down to a plug-in I was using for my porsche wheel. Game plays well and looks gorgeous when image spanned across three monitors. I would have given it five stars if it wasn't for the annoying Microsoft Games for Live application that makes you go through hoops to set it up and causes problems of it's own (occasional crashes),A great game ruined by Microsoft's account management system,1352851200,,
4.0,False,"03 19, 2012",A20DRRKAN5Z9Q,0700099867,Moviedude,"In today's game market it's easy to miss racing games that aren't part of the license-heavy Forza or Gran Turismo franchises. Dirt 3 for PC is in an even worse boat than most since it's been a giveaway for a couple years now with every DX11 compliant ATI video card. As a result a lot of people who get it send it straight to eBay and most people who do play it have not bought it new.

This is a shame because Dirt 3 is a fun little game. There's a great assortment of multinational tracks, and a wide array of classic and modern rally cars to choose from. As a rally game, Dirt 3 ditches the comfortable confines of tracks and sends you headlong across snow and gravel in a world where keeping control of your car is a greater skill than making it around the turns. Dirt 3 wears a veneer of noisy, fun arcade-style game play, but under the hood it calls for quick reactions, a good understanding of road surfaces, and nerves of steel. Sadly, it also calls for a gamepad or wheel- you will almost certainly find the keyboard too all-or-nothing for serious racing.

PROS:
-Visually stunning engine that makes full use of DirectX 11 effects
-Soundtrack is an appealing mix of classic prog rock and modern music that does a good job of being vaguely European and not too intrusive
-Successfully models an arcade-like complexity of play with a surprisingly deep simulation of track conditions and vehicle handling
-In-car camera gives a stomach-churning stream of nonstop thrills as you launch over crests and 2-wheel hairpins
-Probably the most realistic depiction of drifting/powersliding to appear in a video game (it's frightening, nauseating, and usually a bad idea)
-3D support!

CONS:
-Lower difficulties aren't much fun, highest difficulty is brutally hard
-Small fanbase of hardcore racing nuts may make multiplayer a bit hard for newcomers (Dirt 3 players seem pretty nice though)
-Essentially requires some sort of analog input
-May confuse players who aren't familiar with the rules and conditions of rally-style racing

Other thoughts:
-You need to plug your youtube credentials into the game to let it export your highlights to YouTube. I don't think CodeMasters wants to rip you off, but if it makes you uncomfortable, create a new Google identity for use with Dirt 3. Easy!
-LEARN THE TRACKS. Learn the tracks, learn the tracks, learn the tracks.
-If you want to win, employ a Fin!",An overlooked gem in the Forza/GT treasure trove,1332115200,,
5.0,True,"10 19, 2011",ANW6EGY12V5XS,0700099867,Henri Savin,"I have been playing car racing games since their early beginning on PC. I currently have a logitech G25 force feedback wheel to play with.
I have played most of the Colin Mc Rae, Need for speed, Grid and Dirt2 games before. I also tried my hands at more simulation oriented games like GTR, GTR2, GP Legends...
Dirt2 came in as a nice and pleasant surprise. Dirt3 tops it off.

As I am sure many will detail everything about this game, I will limit myself to the most important points for me.

Pros:
- Amazing graphics
- Amazing physics
- Challenging but entertaining races

Cons:
- Gymkhana
- Interface

What went through the conceptors mind about gymkhana? Racing is not easy for most but gymkhana is really a pain in the neck.
I saw the videos of Ken Block on Youtube and indeed he is really impressive. Am I even dreaming of doing the same? No!
Racing require good racing skills to start but Gymkhana requires a perfect control of the vehicles and most of us will never achieve such level. So I find the attemps slightly pointless and extremely frustrating.

Now, what about the interface? Simply put, it does not remotely compare with Dirt2's interface. It is messy, I had to search online to figure out where to find my best times. There are not enough info about the cars, the races, the sponsors... It leaves a lot to desire. A complete miss.

Conclusion:
As far as rallye racing. This game is the best out there today.
If you are one who needs crazy challenges, try the gymkhana and good luck!
In spite of my criticism, I definitely do not regreat this purchase.",A 5 stars winner!,1318982400,,
4.0,True,"02 23, 2017",AQQQ3IA92VBGR,0804161380,Steven Rea,"The metal bookmark has a couple of weird flaws in it.  I wish that all the cloth maps that were included with the books individually were included in this set, but it's worth losing those to get this cool set.",Nice set,1487808000,,{'Format:': ' Hardcover'}
5.0,True,"01 23, 2017",A1DWHVHU20K6RH,0804161380,D Comrey,Awesome,Five Stars,1485129600,,{'Format:': ' Hardcover'}
5.0,True,"08 27, 2016",A2RPG0G1UGUFKL,0804161380,Amazon Customer,Glad I got this for my collection,Five Stars,1472256000,,{'Format:': ' Hardcover'}
5.0,True,"04 18, 2016",A1U08MKZHEMMRC,0804161380,Wadev3,Very nicely put together.  Crisp and clean and very good detail.,Five Stars,1460937600,,{'Format:': ' Hardcover'}
5.0,True,"03 29, 2016",A2CJJSZGRCTBQ0,0804161380,Alejandro Garcia,"The box it's in perfect condition and the books are awesome, with great details, just a must have for every Zelda collector.",The box it's in perfect condition and the books are awesome,1459209600,,{'Format:': ' Hardcover'}
5.0,True,"03 24, 2016",A2K79WB48UQDA1,0804161380,Rob,"Amazing value. I cannot believe this set is available for this price. Everything from the packaging to the quality of the paper is stellar.  This set feels like it was put together with care in mind. Also worth noting is the fact that the Ocarina of Time guide can only be found in this set. Only criticism I have is that the cloth maps were not included for  Twilight Princess and Wind Waker. Still, Im very happy with my purchase.",Stellar Value,1458777600,,{'Format:': ' Hardcover'}
5.0,True,"02 18, 2016",A2091SXNAJ977E,0804161380,Jose Miguel Nieves,Just starting to collecting.this is one of the best item i get.,Excellent,1455753600,,{'Format:': ' Hardcover'}
5.0,True,"01 24, 2016",A2OY8MLYIC1HSH,0804161380,ecp,"great set of guides. no shipping damage. all books are in great shape , no misprints or upside-down pages.well worth the investment.",great set of guides,1453593600,,{'Format:': ' Hardcover'}
5.0,True,"01 5, 2016",ABD0I9RXRUOL1,0804161380,Kitty Lexi,I'm a huge Zelda fan and I'm so happy to add this to my collection ^.^,Love it!,1451952000,,{'Format:': ' Hardcover'}
5.0,True,"08 26, 2015",A2JAYNG5U1KIWD,0804161380,Martin Jimenez,Very happy with purchase,Five Stars,1440547200,,{'Format:': ' Hardcover'}
5.0,True,"07 5, 2015",A18961KK4R3Y6A,0804161380,skyforce95,"<div id=""video-block-RQ6P1T4NO5ILD"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/E1ZmFyi4lRS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/11zL7xqwCaS.png"" class=""video-slate-img-url"">&nbsp;Watch it in higher quality here: https://www.youtube.com/watch?v=qHocd4BRRLw

I am giving away a brand new copy of the collector's guides of Phantom Hourglass and Spirit Tracks, enter the giveaway here: https://www.youtube.com/watch?v=GqlS5IU2tMw

Check out the rest of my Zelda collection here: https://www.youtube.com/playlist?list=PLWITUa_LHZlKU0VzGaKKJQSDP104WJf0R","Doesn't include everything, but for the money can't complain",1436054400,,{'Format:': ' Hardcover'}
5.0,True,"05 5, 2015",ADF134Y82NAG0,0804161380,Sin,"great product ,",Five Stars,1430784000,,{'Format:': ' Hardcover'}
4.0,True,"04 15, 2015",A39SFA4333246G,0804161380,Riki Lecotey,Wish there was more room for future game guides.,Four Stars,1429056000,,{'Format:': ' Hardcover'}
5.0,True,"04 12, 2015",ASLK5BNPZIYOG,0804161380,Bloomer,This is freakin awesome,must have for Zelda fans,1428796800,,{'Format:': ' Hardcover'}
5.0,True,"02 8, 2015",A4V47RQTBT77H,0804161380,Jordan House,"Let me start by saying this is the best product I've ever purchased. Only $107.89 for 6 amazing great quality guides in a well built chest and a golden bookmark. These are top notch guides, well written, and well put together!
HEADS UP: There's only 50,000 copies being released, and my number according to the certificate is around 49,400. That's how many they've sold in just over a year. If you want this, don't hesitate.
Also, these guides are going for so much seperately! I've seen used copies go for more than this set alone! Imagine in 5 years.... These will be well worth more than you pay right now.",Buy Before They Run Out!,1423353600,,{'Format:': ' Hardcover'}
4.0,True,"01 13, 2015",A2JBQEETZQ56YP,0804161380,Patrick Christensen,a great collectors item i don't want to get rid of anytime soon,Four Stars,1421107200,,{'Format:': ' Hardcover'}
5.0,True,"01 2, 2015",A28NUXQ2ONMT89,0804161380,trojanboy_cdx,best idea to put all these books in a collectors case.,Five Stars,1420156800,,{'Format:': ' Hardcover'}
5.0,True,"12 24, 2014",A1167RGXBQY7JP,0804161380,GOD,All the major Zelda games in super cool hardbound guides.  A must have for the Zelda fanatic.,Five Stars,1419379200,,{'Format:': ' Hardcover'}
5.0,True,"12 14, 2014",A1U7OAOUJLLVSL,0804161380,Rolando Rollee Garcia,"A must have for all Zelda & Link fans. Neat, easy to use & read, colorful, rich in text & content.",A collector's dream.,1418515200,,{'Format:': ' Hardcover'}
5.0,True,"11 19, 2014",AFJX472PTUPQ3,0804161380,Vinicio Martinez,A nice gift for Zelda collectors.,A nice collectors Item.,1416355200,,{'Format:': ' Hardcover'}
5.0,False,"09 25, 2014",A3FCYIWX3Q0AZF,0804161380,B,"Great Order. It has the guides that I need. Great Price, Gets down to every little detail in the game.","Great Guides, Great Price",1411603200,,{'Format:': ' Hardcover'}
5.0,True,"09 11, 2014",A1P2BXN8E1EYN8,0804161380,Andrew M. Hamling,"This is an awesome set of deluxe The Legend of Zelda video game guides. The box it came in is just great and I'm so happy they took the time to add to some of the books. While I did have some of these books already, the new and thicker Skyward Sword guide is really top notch.

My only complaint is that the box comes full. I have other guides and Zelda books like the historia book that I can't cram inside it with the others, but that's ok. They need to sell the chest on it's own as I could fill another chest with the Zelda guides I already have.

If you're a big Zelda fan and love the hardcover deluxe guides that they release with each game, this is a great box set and totally worth it!",Tough to find books remade!,1410393600,2,{'Format:': ' Hardcover'}
5.0,True,"08 11, 2014",A3V9CNRJ1EV5WV,0804161380,Millennial Angst,"ZELDA! WOOT! Good quality product, love it.",Good quality product,1407715200,,{'Format:': ' Hardcover'}
5.0,True,"08 11, 2014",A1U81TVSBABDHR,0804161380,Locke,Great collection in one safe case. Thank you (  ^ _ ^ )b,Zelda Hard Cover Book Set,1407715200,,{'Format:': ' Hardcover'}
5.0,True,"08 6, 2014",A1IY8YNM4W52QP,0804161380,greencheeseELF,A must have for any Zelda fan or collector.,Five Stars,1407283200,,{'Format:': ' Hardcover'}
5.0,True,"07 24, 2014",AW9TN9DNDROZK,0804161380,Marcus S. Morris,"This is a must have for a Zelda collector. Even if it just goes on a shelf to never be opened, it looks great! Some of the guides in it I never saw released (Twilight Princess) and I wonder how I missed them. Great buy for the just over $100 I paid. A lot of the guides by themselves are selling $40-50 ea.",Da-Da-Da-Daaaah,1406160000,,{'Format:': ' Hardcover'}
5.0,True,"07 5, 2014",AMC1110DYRA97,0804161380,Salem Jader,"The Legend of Zelda Box Set looks spectacular, awesome, masterpiece & magnificent . It's truly miracle, fantastic & unbelievable & incredible. The guide books inside are very handy & useful. I'm completely satisfied & accepted with the method & way David Hodgson authorized the Legend Of Zelda Full Box Set","awesome, masterpiece & magnificent",1404518400,,{'Format:': ' Hardcover'}
5.0,True,"05 13, 2014",AM7ZCZ9ZHHZ9B,0804161380,James mang,I Just keep it around my house to feel like an awesome person. Sometimes people come over and high five me.,Frikin sweet,1399939200,,{'Format:': ' Hardcover'}
5.0,True,"04 30, 2014",A22KRTIWDLOA98,0804161380,chadwick,"This box set is a wonderful addition to any Legend of Zelda collection! This set includes 6 Prima Guides, a metal bookmark, a certificate of authenticity, and a magnetic-closure treasure chest. The Prima guides included are for the games: Ocarina of Time 3D, Spirit Tracks, Phantom Hourglass, Wind Waker HD, Twilight Princess, and Skyward Sword. The guides speak for themselves, they walk you through all aspects of these games, giving you tips and help to complete the games. All of the books are high-quality hard cover, with gold-edged pages. I am a huge fan of the Legend of Zelda, and this box set was a perfect addition to my collection. I would recommend this box set to any fan of this franchise, plus the price on Amazon can't be beat!",Beautiful set!,1398816000,,{'Format:': ' Hardcover'}
5.0,True,"04 7, 2014",A1BT7MFB8PBFKZ,0804161380,Jason Risoldi,This is a really great set of player's guides for the recent Zelda games and I would recommend it to all fans of the Zelda games.,Really great Zelda set,1396828800,,{'Format:': ' Hardcover'}
5.0,True,"03 19, 2014",A11548ZOIDAELN,0804161380,S P,This is really quite the treat for collectors. The presentation is stunning - from the fun box to the sturdy books to the certificate proving the uniqueness of your set. For the hardcore Zelda fan this both useful for strategy and cool as a keepsake.,Epic collection,1395187200,,{'Format:': ' Hardcover'}
5.0,True,"03 15, 2014",AOV56JJHXDFEO,0804161380,papajimm,I haven't opened these. I have paperback versions that I use. I wanted this as a collectible only.a a a,Legend of Zelda,1394841600,,{'Format:': ' Hardcover'}
5.0,True,"03 14, 2014",A3RGPIPHC2ACMH,0804161380,I. McInerney,Just amazing.  High quality and all the Zelda feels.  Do yourself a favor and get this.  A must have in any crazy Zelda fan's arsenal.,All the words cannot describe,1394755200,,{'Format:': ' Hardcover'}
5.0,True,"02 25, 2014",A3MXXBNFLOQWBQ,0804161380,Domino,"I bought this set for my son. I am not a gamer, so I will state what I know about quality, and what my son has shared with me.

I was quite impressed with the quality of the books. Hard covered, gilded edge pages, good binding.

My son is thrilled with the content. Good graphics and he says the information is helpful.",Good quality reference books.,1393286400,,{'Format:': ' Hardcover'}
5.0,True,"02 15, 2014",A358EN9DHSZG9I,0804161380,MQ,Great gift set just as expected a must have for any zelda fan. Will keep for ever priced fair too,Fantastic gift set,1392422400,,{'Format:': ' Hardcover'}
5.0,True,"01 20, 2014",A33GQDA8GQYTDX,0804161380,N. Jones,"These books are much higher quality than the standard release strategy guides.  Obviously the books are hardbound allowing them to be more durable, but also the pages are printed on 80lb paper so they are thicker more durable pages than the original magazine releases.  The material has also been revised from the original print so they are the most complete and accurate of the guides to date.  I just received my guides recently and I have copy number 49647 of 50000.  When these are gone Prima has said that they will not be reprinted.  They have also released a collector's guide individually for A Link Between Worlds that I grabbed as well.  Again the quality of the information inside is excellent as is the quality of these books that will surely become collector's items.  Here's hoping they also release books for Majora's Mask when it inevitably releases on the 3DS as well as the new Zelda adventure for the Wii U later this year or Spring 2015, whenever it is ready.",Excellent reference material for the latest Zelda games,1390176000,,{'Format:': ' Hardcover'}
5.0,True,"01 15, 2014",A3Q1EK4VBVHJCP,0804161380,Natalia Canela,"amazing

cool awesome interesting guides of the legend of Zelda

excellent collectors edition item

great for Zelda fans

super cool",Great,1389744000,,{'Format:': ' Hardcover'}
5.0,True,"01 15, 2014",A2DFT8S9UHSETY,0804161380,Christina,I already have all the Zelda Collectors edition guides but I decided to purchase this as well just to add to my collection. Everything is so great in this little box I recommend it to any fan that either missed out the first time or if you're a collector since they come with specially marked numbers.,Zelda Collector's Dream!,1389744000,,{'Format:': ' Hardcover'}
5.0,True,"01 6, 2014",A22BQTTOQ016HF,0804161380,Tina pease,he loves zelda and loves anything that has to do with zelda so anything will make him happy. he loved the box it came in to. Also the packaging was really good and sturdy,for my husband,1388966400,,{'Format:': ' Hardcover'}
5.0,True,"01 4, 2014",A2JETWE8ZSXSO8,0804161380,Stephen Hoeltge,I am a Zelda fan and I am absolutely delighted to add this to my collection. Any die hard Zelda fan would and should add this to their collection as well.,The Legend of Zelda Strategy Guide Box Set,1388793600,,{'Format:': ' Hardcover'}
4.0,True,"12 19, 2013",ALC1KQZ4HG1LN,0804161380,Alberto Tequida Banda,"The only down side is that these guides are not from Nintendo, so there's very little original art work and a lot of information. How ever the hardcover and golden side shets make it an elegant product.",I love Zelda games,1387411200,,{'Format:': ' Hardcover'}
